bufferSize downloadTime fileSize
32 3502180 141557760
32 4173970 141557760
32 4243767 141557760
32 4344077 141557760
32 4199664 141557760
64 2579535 141557760
64 2673076 141557760
64 2934304 141557760
64 2651724 141557760
64 2890839 141557760
128 2044944 141557760
128 1863528 141557760
128 3429898 141557760
128 2278838 141557760
128 2111265 141557760
256 1642079 141557760
256 1979328 141557760
256 1646163 141557760
256 1634960 141557760
256 1763995 141557760
512 1494872 141557760
512 1826545 141557760
512 1648041 141557760
512 1408045 141557760
512 1446814 141557760
1024 1595115 141557760
1024 1615281 141557760
1024 1495164 141557760
1024 1563195 141557760
1024 1647948 141557760
2048 1762601 141557760
2048 1550431 141557760
2048 1468576 141557760
2048 2055369 141557760
2048 1292776 141557760
4096 2165503 141557760
4096 1332575 141557760
4096 1994346 141557760
4096 1421642 141557760
4096 1311425 141557760
8192 1797827 141557760
8192 1825751 141557760
8192 1719761 141557760
8192 1265266 141557760
8192 2065801 141557760
16384 1469667 141557760
16384 1755336 141557760
16384 1198435 141557760
16384 1783449 141557760
16384 1666281 141557760
32768 1587049 141557760
32768 1128372 141557760
32768 1644889 141557760
32768 1355429 141557760
32768 1598373 141557760
65536 1343130 141557760
65536 1615312 141557760
65536 1301233 141557760
65536 1552966 141557760
65536 1510025 141557760
131072 1014174 141557760
131072 1463387 141557760
131072 2127035 141557760
131072 1207908 141557760
131072 2183545 141557760
262144 2169754 141557760
262144 1024811 141557760
262144 1461518 141557760
262144 1860719 141557760
262144 1069894 141557760
524288 1908358 141557760
524288 1356954 141557760
524288 1486044 141557760
524288 1841773 141557760
524288 1886919 141557760
1048576 2409347 141557760
1048576 1560901 141557760
1048576 2183316 141557760
1048576 1935485 141557760
1048576 2189693 141557760
2097152 1649338 141557760
2097152 1610777 141557760
2097152 1813363 141557760
2097152 1725685 141557760
2097152 1988823 141557760
4194304 2020398 141557760
4194304 2012671 141557760
4194304 1711364 141557760
4194304 1860164 141557760
4194304 1297326 141557760
8388608 1983157 141557760
8388608 1647794 141557760
8388608 1590538 141557760
8388608 974847 141557760
8388608 1516900 141557760
16777216 2529910 141557760
16777216 1360907 141557760
16777216 1812108 141557760
16777216 1366324 141557760
16777216 1844851 141557760
33554432 1643643 141557760
33554432 1652497 141557760
33554432 1883823 141557760
33554432 2111956 141557760
33554432 2294513 141557760
67108864 1660491 141557760
67108864 1563135 141557760
67108864 1370335 141557760
67108864 1604948 141557760
67108864 1361119 141557760
134217728 1617002 141557760
134217728 1473394 141557760
134217728 1839793 141557760
134217728 1517252 141557760
134217728 1546597 141557760
