bufferSize downloadTime fileSize fileName
16384 233964 141557760 142MB.bin
16384 538570 141557760 142MB.bin
16384 1913948 141557760 142MB.bin
16384 1376226 141557760 142MB.bin
16384 1681654 141557760 142MB.bin
16384 1566228 141557760 142MB.bin
16384 1476850 141557760 142MB.bin
16384 1407607 141557760 142MB.bin
16384 1448534 141557760 142MB.bin
16384 1425152 141557760 142MB.bin
32768 1415735 141557760 142MB.bin
32768 1636478 141557760 142MB.bin
32768 1726154 141557760 142MB.bin
32768 1383256 141557760 142MB.bin
32768 1687331 141557760 142MB.bin
32768 1424629 141557760 142MB.bin
32768 1399469 141557760 142MB.bin
32768 1483937 141557760 142MB.bin
32768 1412347 141557760 142MB.bin
32768 1327384 141557760 142MB.bin
65536 1410241 141557760 142MB.bin
65536 1534939 141557760 142MB.bin
65536 1556954 141557760 142MB.bin
65536 1628955 141557760 142MB.bin
65536 1499890 141557760 142MB.bin
65536 1653346 141557760 142MB.bin
65536 1389219 141557760 142MB.bin
65536 1507457 141557760 142MB.bin
65536 1391709 141557760 142MB.bin
65536 1436089 141557760 142MB.bin
131072 1440317 141557760 142MB.bin
131072 1389293 141557760 142MB.bin
131072 1477323 141557760 142MB.bin
131072 1447680 141557760 142MB.bin
131072 980155 141557760 142MB.bin
131072 2328690 141557760 142MB.bin
131072 1413169 141557760 142MB.bin
131072 1662359 141557760 142MB.bin
131072 1588832 141557760 142MB.bin
131072 1413447 141557760 142MB.bin
262144 1439062 141557760 142MB.bin
262144 1355080 141557760 142MB.bin
262144 1579947 141557760 142MB.bin
262144 1813464 141557760 142MB.bin
262144 1432248 141557760 142MB.bin
262144 1269952 141557760 142MB.bin
262144 1594032 141557760 142MB.bin
262144 1227241 141557760 142MB.bin
262144 1356489 141557760 142MB.bin
262144 1632002 141557760 142MB.bin
524288 1354212 141557760 142MB.bin
524288 1547981 141557760 142MB.bin
524288 1452388 141557760 142MB.bin
524288 1468295 141557760 142MB.bin
524288 1552199 141557760 142MB.bin
524288 1573503 141557760 142MB.bin
524288 1410853 141557760 142MB.bin
524288 1431360 141557760 142MB.bin
524288 1647697 141557760 142MB.bin
524288 1575105 141557760 142MB.bin
1048576 1486376 141557760 142MB.bin
1048576 1457890 141557760 142MB.bin
1048576 1300841 141557760 142MB.bin
1048576 1740693 141557760 142MB.bin
1048576 1930778 141557760 142MB.bin
1048576 1595797 141557760 142MB.bin
1048576 1412394 141557760 142MB.bin
1048576 1209680 141557760 142MB.bin
1048576 1483982 141557760 142MB.bin
1048576 1720041 141557760 142MB.bin
2097152 1564216 141557760 142MB.bin
2097152 1640230 141557760 142MB.bin
2097152 1614461 141557760 142MB.bin
2097152 1425453 141557760 142MB.bin
2097152 1392539 141557760 142MB.bin
2097152 1576069 141557760 142MB.bin
2097152 1428593 141557760 142MB.bin
2097152 1464685 141557760 142MB.bin
2097152 1503217 141557760 142MB.bin
2097152 1396592 141557760 142MB.bin
4194304 1441288 141557760 142MB.bin
4194304 1552161 141557760 142MB.bin
4194304 1331572 141557760 142MB.bin
4194304 1649419 141557760 142MB.bin
4194304 1445612 141557760 142MB.bin
4194304 1424178 141557760 142MB.bin
4194304 1527057 141557760 142MB.bin
4194304 1470056 141557760 142MB.bin
4194304 1551678 141557760 142MB.bin
4194304 1122462 141557760 142MB.bin
8388608 1706720 141557760 142MB.bin
8388608 1231229 141557760 142MB.bin
8388608 1597540 141557760 142MB.bin
8388608 1654299 141557760 142MB.bin
8388608 1368308 141557760 142MB.bin
8388608 1483233 141557760 142MB.bin
8388608 1417658 141557760 142MB.bin
8388608 1651470 141557760 142MB.bin
8388608 1444631 141557760 142MB.bin
8388608 1102594 141557760 142MB.bin
16777216 1708738 141557760 142MB.bin
16777216 1474200 141557760 142MB.bin
16777216 1185377 141557760 142MB.bin
16777216 1348700 141557760 142MB.bin
16777216 1792204 141557760 142MB.bin
16777216 1486480 141557760 142MB.bin
16777216 1412562 141557760 142MB.bin
16777216 1834929 141557760 142MB.bin
16777216 1394377 141557760 142MB.bin
16777216 1426256 141557760 142MB.bin
33554432 1648031 141557760 142MB.bin
33554432 1138575 141557760 142MB.bin
33554432 1479876 141557760 142MB.bin
33554432 1740424 141557760 142MB.bin
33554432 1229359 141557760 142MB.bin
33554432 1356762 141557760 142MB.bin
33554432 1401677 141557760 142MB.bin
33554432 1846561 141557760 142MB.bin
33554432 1268688 141557760 142MB.bin
33554432 1696781 141557760 142MB.bin
67108864 1355659 141557760 142MB.bin
67108864 1452513 141557760 142MB.bin
67108864 1400014 141557760 142MB.bin
67108864 1487870 141557760 142MB.bin
67108864 1287741 141557760 142MB.bin
67108864 1483030 141557760 142MB.bin
67108864 1761096 141557760 142MB.bin
67108864 1459684 141557760 142MB.bin
67108864 1416561 141557760 142MB.bin
67108864 1558079 141557760 142MB.bin
134217728 1367746 141557760 142MB.bin
134217728 1472875 141557760 142MB.bin
134217728 1531293 141557760 142MB.bin
134217728 1414400 141557760 142MB.bin
134217728 1542620 141557760 142MB.bin
134217728 1226763 141557760 142MB.bin
134217728 1582302 141557760 142MB.bin
134217728 1423116 141557760 142MB.bin
134217728 1257372 141557760 142MB.bin
134217728 1491352 141557760 142MB.bin
