bufferSize downloadTime fileSize
16384 313283 141557760
16384 184974 141557760
16384 1501006 141557760
16384 1552838 141557760
16384 1508428 141557760
32768 1455424 141557760
32768 1522784 141557760
32768 1360403 141557760
32768 1403627 141557760
32768 1376046 141557760
65536 1517243 141557760
65536 1363473 141557760
65536 1396011 141557760
65536 1653981 141557760
65536 1481949 141557760
131072 1561464 141557760
131072 1652118 141557760
131072 1482896 141557760
131072 1402037 141557760
131072 1528807 141557760
262144 1386573 141557760
262144 1390765 141557760
262144 1401383 141557760
262144 1467799 141557760
262144 1338715 141557760
524288 1609495 141557760
524288 1542772 141557760
524288 1309576 141557760
524288 1338641 141557760
524288 1474340 141557760
1048576 1517354 141557760
1048576 1333956 141557760
1048576 1476229 141557760
1048576 1293621 141557760
1048576 1434918 141557760
2097152 1486312 141557760
2097152 1341984 141557760
2097152 1345154 141557760
2097152 1356937 141557760
2097152 1483349 141557760
4194304 1460255 141557760
4194304 1574285 141557760
4194304 1528365 141557760
4194304 1485790 141557760
4194304 1427421 141557760
8388608 1469737 141557760
8388608 1520192 141557760
8388608 1402778 141557760
8388608 1385640 141557760
8388608 1455440 141557760
16777216 1257532 141557760
16777216 1280701 141557760
16777216 1469959 141557760
16777216 1389639 141557760
16777216 1229427 141557760
33554432 1387163 141557760
33554432 1331112 141557760
33554432 1468391 141557760
33554432 1365476 141557760
33554432 1244766 141557760
67108864 1337413 141557760
67108864 1435233 141557760
67108864 1413270 141557760
67108864 1675603 141557760
67108864 1562751 141557760
134217728 1397947 141557760
134217728 1729225 141557760
134217728 1392959 141557760
134217728 1690484 141557760
134217728 1497199 141557760
