bufferSize downloadTime fileSize
16384 11228049 141557760
16384 15383712 141557760
16384 13499932 141557760
16384 11006537 141557760
16384 10684931 141557760
16384 11513558 141557760
16384 11893201 141557760
16384 11718205 141557760
16384 11624657 141557760
16384 11312455 141557760
32768 9416237 141557760
32768 9154277 141557760
32768 8188442 141557760
32768 8781495 141557760
32768 7040945 141557760
32768 8321443 141557760
32768 10705205 141557760
32768 7572989 141557760
32768 10089212 141557760
32768 7106285 141557760
65536 4592118 141557760
65536 4672934 141557760
65536 7103606 141557760
65536 4127560 141557760
65536 4414876 141557760
65536 4594556 141557760
65536 4863012 141557760
65536 5177273 141557760
65536 5402386 141557760
65536 6843972 141557760
131072 3639684 141557760
131072 3975150 141557760
131072 3578561 141557760
131072 4354309 141557760
131072 3376726 141557760
131072 3074420 141557760
131072 3911442 141557760
131072 3622876 141557760
131072 3439985 141557760
131072 4368439 141557760
262144 2604244 141557760
262144 3215974 141557760
262144 2756570 141557760
262144 2287241 141557760
262144 2270275 141557760
262144 2838092 141557760
262144 3329844 141557760
262144 3254394 141557760
262144 2572460 141557760
262144 3291233 141557760
524288 1814740 141557760
524288 1829129 141557760
524288 2269748 141557760
524288 1833993 141557760
524288 2279113 141557760
524288 1818397 141557760
524288 1976717 141557760
524288 2410795 141557760
524288 2468230 141557760
524288 2309622 141557760
1048576 1835716 141557760
1048576 1682903 141557760
1048576 2030903 141557760
1048576 1659150 141557760
1048576 1656240 141557760
1048576 1726036 141557760
1048576 1728870 141557760
1048576 1654108 141557760
1048576 2110683 141557760
1048576 1745899 141557760
2097152 1600102 141557760
2097152 1954426 141557760
2097152 1851667 141557760
2097152 1640573 141557760
2097152 1792238 141557760
2097152 1480935 141557760
2097152 1621952 141557760
2097152 1671804 141557760
2097152 1124211 141557760
2097152 1951846 141557760
4194304 1636257 141557760
4194304 1616748 141557760
4194304 1569120 141557760
4194304 1463334 141557760
4194304 1587691 141557760
4194304 1603040 141557760
4194304 1598721 141557760
4194304 1486680 141557760
4194304 1530786 141557760
4194304 1499296 141557760
8388608 1390554 141557760
8388608 1403598 141557760
8388608 1716889 141557760
8388608 1402554 141557760
8388608 1634777 141557760
8388608 1577736 141557760
8388608 1390104 141557760
8388608 1569985 141557760
8388608 1428337 141557760
8388608 1837606 141557760
16777216 1265770 141557760
16777216 1203224 141557760
16777216 1413073 141557760
16777216 1166763 141557760
16777216 1395844 141557760
16777216 1382675 141557760
16777216 1522000 141557760
16777216 1550839 141557760
16777216 1468198 141557760
16777216 1380573 141557760
33554432 1273838 141557760
33554432 1156618 141557760
33554432 1659226 141557760
33554432 1225818 141557760
33554432 1362514 141557760
33554432 1162519 141557760
33554432 1166080 141557760
33554432 1371740 141557760
33554432 1230275 141557760
33554432 1190714 141557760
67108864 1373533 141557760
67108864 1224347 141557760
67108864 1283209 141557760
67108864 1180588 141557760
67108864 1327995 141557760
67108864 1191153 141557760
67108864 1176983 141557760
67108864 1295390 141557760
67108864 1350606 141557760
67108864 1464630 141557760
134217728 1203610 141557760
134217728 967150 141557760
134217728 1249692 141557760
134217728 1420698 141557760
134217728 1083242 141557760
134217728 1279065 141557760
134217728 1300514 141557760
134217728 1106693 141557760
134217728 1342217 141557760
134217728 1316446 141557760
