bufferSize downloadTime fileSize fileName
4194304 89314464 141557760 142MB.bin
4194304 94601417 141557760 142MB.bin
4194304 93034742 141557760 142MB.bin
4194304 84686320 141557760 142MB.bin
4194304 105632964 141557760 142MB.bin
8388608 81761998 141557760 142MB.bin
8388608 93897595 141557760 142MB.bin
8388608 118720233 141557760 142MB.bin
8388608 108931169 141557760 142MB.bin
8388608 92345112 141557760 142MB.bin
16777216 98191025 141557760 142MB.bin
16777216 110037144 141557760 142MB.bin
16777216 129488834 141557760 142MB.bin
16777216 96571900 141557760 142MB.bin
16777216 99635442 141557760 142MB.bin
33554432 86825205 141557760 142MB.bin
33554432 93605211 141557760 142MB.bin
33554432 97733890 141557760 142MB.bin
33554432 86839402 141557760 142MB.bin
33554432 119103177 141557760 142MB.bin
67108864 176997675 141557760 142MB.bin
67108864 124028832 141557760 142MB.bin
67108864 120092450 141557760 142MB.bin
67108864 96796764 141557760 142MB.bin
67108864 132349571 141557760 142MB.bin
134217728 101352390 141557760 142MB.bin
134217728 130454889 141557760 142MB.bin
134217728 159430318 141557760 142MB.bin
134217728 237835538 141557760 142MB.bin
134217728 185431538 141557760 142MB.bin
