bufferSize downloadTime fileSize fileName
16 221243 3247297 kitten.png
16 187694 3247297 kitten.png
16 135542 3247297 kitten.png
16 148969 3247297 kitten.png
16 151693 3247297 kitten.png
16 149973 3247297 kitten.png
16 155459 3247297 kitten.png
16 137556 3247297 kitten.png
16 141900 3247297 kitten.png
16 162363 3247297 kitten.png
16 150790 3247297 kitten.png
16 169323 3247297 kitten.png
16 132451 3247297 kitten.png
16 143924 3247297 kitten.png
16 148519 3247297 kitten.png
16 146021 3247297 kitten.png
16 150432 3247297 kitten.png
16 159187 3247297 kitten.png
16 172854 3247297 kitten.png
16 136634 3247297 kitten.png
32 80344 3247297 kitten.png
32 74191 3247297 kitten.png
32 70942 3247297 kitten.png
32 87203 3247297 kitten.png
32 89318 3247297 kitten.png
32 73535 3247297 kitten.png
32 89503 3247297 kitten.png
32 93056 3247297 kitten.png
32 91089 3247297 kitten.png
32 79662 3247297 kitten.png
32 68090 3247297 kitten.png
32 83886 3247297 kitten.png
32 83401 3247297 kitten.png
32 82595 3247297 kitten.png
32 69104 3247297 kitten.png
32 100575 3247297 kitten.png
32 69130 3247297 kitten.png
32 109613 3247297 kitten.png
32 84555 3247297 kitten.png
32 86646 3247297 kitten.png
64 56450 3247297 kitten.png
64 182486 3247297 kitten.png
64 41024 3247297 kitten.png
64 40297 3247297 kitten.png
64 53341 3247297 kitten.png
64 52176 3247297 kitten.png
64 68822 3247297 kitten.png
64 46679 3247297 kitten.png
64 46965 3247297 kitten.png
64 96951 3247297 kitten.png
64 45082 3247297 kitten.png
64 57487 3247297 kitten.png
64 39439 3247297 kitten.png
64 52287 3247297 kitten.png
64 43578 3247297 kitten.png
64 52864 3247297 kitten.png
64 48238 3247297 kitten.png
64 49471 3247297 kitten.png
64 78791 3247297 kitten.png
64 41229 3247297 kitten.png
128 31314 3247297 kitten.png
128 23789 3247297 kitten.png
128 23958 3247297 kitten.png
128 25020 3247297 kitten.png
128 31401 3247297 kitten.png
128 24824 3247297 kitten.png
128 31309 3247297 kitten.png
128 25012 3247297 kitten.png
128 23955 3247297 kitten.png
128 23968 3247297 kitten.png
128 25024 3247297 kitten.png
128 62306 3247297 kitten.png
128 28301 3247297 kitten.png
128 24135 3247297 kitten.png
128 24981 3247297 kitten.png
128 26008 3247297 kitten.png
128 26105 3247297 kitten.png
128 31608 3247297 kitten.png
128 25304 3247297 kitten.png
128 25006 3247297 kitten.png
256 19281 3247297 kitten.png
256 45457 3247297 kitten.png
256 29198 3247297 kitten.png
256 22144 3247297 kitten.png
256 16515 3247297 kitten.png
256 16494 3247297 kitten.png
256 47827 3247297 kitten.png
256 30535 3247297 kitten.png
256 20141 3247297 kitten.png
256 19547 3247297 kitten.png
256 16307 3247297 kitten.png
256 16254 3247297 kitten.png
256 31438 3247297 kitten.png
256 18718 3247297 kitten.png
256 18045 3247297 kitten.png
256 36692 3247297 kitten.png
256 19424 3247297 kitten.png
256 17959 3247297 kitten.png
256 17508 3247297 kitten.png
256 42310 3247297 kitten.png
512 22739 3247297 kitten.png
512 13791 3247297 kitten.png
512 386260 3247297 kitten.png
512 129400 3247297 kitten.png
512 152495 3247297 kitten.png
512 151176 3247297 kitten.png
512 95951 3247297 kitten.png
512 128588 3247297 kitten.png
512 123760 3247297 kitten.png
512 101786 3247297 kitten.png
512 28917 3247297 kitten.png
512 29194 3247297 kitten.png
512 38475 3247297 kitten.png
512 20581 3247297 kitten.png
512 17485 3247297 kitten.png
512 17632 3247297 kitten.png
512 26993 3247297 kitten.png
512 17222 3247297 kitten.png
512 26786 3247297 kitten.png
512 15664 3247297 kitten.png
1024 12237 3247297 kitten.png
1024 22144 3247297 kitten.png
1024 19063 3247297 kitten.png
1024 12166 3247297 kitten.png
1024 12266 3247297 kitten.png
1024 12485 3247297 kitten.png
1024 12148 3247297 kitten.png
1024 10334 3247297 kitten.png
1024 10775 3247297 kitten.png
1024 17984 3247297 kitten.png
1024 12357 3247297 kitten.png
1024 11736 3247297 kitten.png
1024 10084 3247297 kitten.png
1024 10641 3247297 kitten.png
1024 10786 3247297 kitten.png
1024 10598 3247297 kitten.png
1024 10743 3247297 kitten.png
1024 10864 3247297 kitten.png
1024 11770 3247297 kitten.png
1024 12001 3247297 kitten.png
2048 11867 3247297 kitten.png
2048 12419 3247297 kitten.png
2048 10767 3247297 kitten.png
2048 10389 3247297 kitten.png
2048 11459 3247297 kitten.png
2048 11395 3247297 kitten.png
2048 11382 3247297 kitten.png
2048 21009 3247297 kitten.png
2048 23396 3247297 kitten.png
2048 14048 3247297 kitten.png
2048 13224 3247297 kitten.png
2048 11646 3247297 kitten.png
2048 22846 3247297 kitten.png
2048 13917 3247297 kitten.png
2048 12079 3247297 kitten.png
2048 11450 3247297 kitten.png
2048 22386 3247297 kitten.png
2048 12998 3247297 kitten.png
2048 9899 3247297 kitten.png
2048 9592 3247297 kitten.png
4096 10743 3247297 kitten.png
4096 11331 3247297 kitten.png
4096 8826 3247297 kitten.png
4096 9090 3247297 kitten.png
4096 10026 3247297 kitten.png
4096 10221 3247297 kitten.png
4096 81808 3247297 kitten.png
4096 18655 3247297 kitten.png
4096 16582 3247297 kitten.png
4096 18318 3247297 kitten.png
4096 12977 3247297 kitten.png
4096 10871 3247297 kitten.png
4096 72987 3247297 kitten.png
4096 21998 3247297 kitten.png
4096 16933 3247297 kitten.png
4096 17433 3247297 kitten.png
4096 16817 3247297 kitten.png
4096 11890 3247297 kitten.png
4096 70669 3247297 kitten.png
4096 22438 3247297 kitten.png
8192 36424 3247297 kitten.png
8192 19560 3247297 kitten.png
8192 12010 3247297 kitten.png
8192 10564 3247297 kitten.png
8192 49256 3247297 kitten.png
8192 15324 3247297 kitten.png
8192 16405 3247297 kitten.png
8192 11878 3247297 kitten.png
8192 10586 3247297 kitten.png
8192 9496 3247297 kitten.png
8192 89291 3247297 kitten.png
8192 21650 3247297 kitten.png
8192 13901 3247297 kitten.png
8192 15510 3247297 kitten.png
8192 15468 3247297 kitten.png
8192 16106 3247297 kitten.png
8192 67730 3247297 kitten.png
