#Servidor e cliente executados em rede LAN
#Amostragem: 20
#MenorBuffer 2^0
#MaiorBuffer 2^27

bufferSize downloadTime fileSize
1 2587590 3247297
1 2681403 3247297
1 2670657 3247297
1 2417372 3247297
1 2291889 3247297
1 2226817 3247297
1 2587331 3247297
1 2470670 3247297
1 2652587 3247297
1 2722067 3247297
1 2450355 3247297
1 2648764 3247297
1 2633884 3247297
1 2175081 3247297
1 2130477 3247297
1 2126548 3247297
1 2666636 3247297
1 3010505 3247297
1 2664038 3247297
1 2708643 3247297
2 1737976 3247297
2 1478362 3247297
2 1761891 3247297
2 1415753 3247297
2 1160949 3247297
2 1787537 3247297
2 1622327 3247297
2 1253429 3247297
2 1672495 3247297
2 1669498 3247297
2 1880049 3247297
2 1393125 3247297
2 1400831 3247297
2 1630947 3247297
2 1685201 3247297
2 1626845 3247297
2 1739987 3247297
2 1675039 3247297
2 1699414 3247297
2 1439840 3247297
4 1038493 3247297
4 1165781 3247297
4 1153229 3247297
4 1125711 3247297
4 1105319 3247297
4 1110188 3247297
4 983113 3247297
4 1713756 3247297
4 763021 3247297
4 757432 3247297
4 837186 3247297
4 1245499 3247297
4 1004993 3247297
4 896367 3247297
4 1099669 3247297
4 1087957 3247297
4 1000516 3247297
4 947538 3247297
4 946196 3247297
4 968780 3247297
8 907123 3247297
8 802358 3247297
8 925155 3247297
8 1142019 3247297
8 1005090 3247297
8 1027908 3247297
8 844073 3247297
8 1308314 3247297
8 805837 3247297
8 918937 3247297
8 879235 3247297
8 1321141 3247297
8 841172 3247297
8 1037155 3247297
8 1226925 3247297
8 950133 3247297
8 1041350 3247297
8 1023275 3247297
8 950072 3247297
8 1046612 3247297
16 792040 3247297
16 785020 3247297
16 550897 3247297
16 833391 3247297
16 627038 3247297
16 755590 3247297
16 779372 3247297
16 717035 3247297
16 801472 3247297
16 726567 3247297
16 767816 3247297
16 872727 3247297
16 702867 3247297
16 810130 3247297
16 851962 3247297
16 731628 3247297
16 879969 3247297
16 733978 3247297
16 965279 3247297
16 780219 3247297
32 725622 3247297
32 729070 3247297
32 799855 3247297
32 897198 3247297
32 772118 3247297
32 740582 3247297
32 734884 3247297
32 890320 3247297
32 722762 3247297
32 729982 3247297
32 730163 3247297
32 723429 3247297
32 797163 3247297
32 807073 3247297
32 1192443 3247297
32 611401 3247297
32 674104 3247297
32 569603 3247297
32 635556 3247297
32 795845 3247297
64 563956 3247297
64 1089379 3247297
64 804514 3247297
64 794653 3247297
64 882490 3247297
64 809309 3247297
64 736665 3247297
64 762396 3247297
64 761696 3247297
64 688111 3247297
64 563660 3247297
64 749993 3247297
64 750757 3247297
64 755779 3247297
64 819573 3247297
64 1121595 3247297
64 574869 3247297
64 737968 3247297
64 761012 3247297
64 763887 3247297
128 769998 3247297
128 758226 3247297
128 772386 3247297
128 751462 3247297
128 733320 3247297
128 870187 3247297
128 772234 3247297
128 767761 3247297
128 772369 3247297
128 744772 3247297
128 788626 3247297
128 916290 3247297
128 711306 3247297
128 787436 3247297
128 650025 3247297
128 831212 3247297
128 770392 3247297
128 700666 3247297
128 764976 3247297
128 815242 3247297
256 789571 3247297
256 739795 3247297
256 694222 3247297
256 569784 3247297
256 732101 3247297
256 811536 3247297
256 764247 3247297
256 783279 3247297
256 763352 3247297
256 711360 3247297
256 754251 3247297
256 768867 3247297
256 798011 3247297
256 772200 3247297
256 752572 3247297
256 786133 3247297
256 737392 3247297
256 744976 3247297
256 705926 3247297
256 731177 3247297
512 547116 3247297
512 578432 3247297
512 804688 3247297
512 772861 3247297
512 775548 3247297
512 776447 3247297
512 763156 3247297
512 732765 3247297
512 736670 3247297
512 721463 3247297
512 750725 3247297
512 711954 3247297
512 1143344 3247297
512 670646 3247297
512 588215 3247297
512 836500 3247297
512 579754 3247297
512 734778 3247297
512 723983 3247297
512 830279 3247297
1024 526317 3247297
1024 543414 3247297
1024 755137 3247297
1024 777802 3247297
1024 773501 3247297
1024 730493 3247297
1024 771482 3247297
1024 758308 3247297
1024 809320 3247297
1024 724721 3247297
1024 706860 3247297
1024 711837 3247297
1024 705555 3247297
1024 694927 3247297
1024 758557 3247297
1024 1081717 3247297
1024 535193 3247297
1024 738776 3247297
1024 683183 3247297
1024 536815 3247297
2048 656530 3247297
2048 783679 3247297
2048 686698 3247297
2048 699727 3247297
2048 718968 3247297
2048 754430 3247297
2048 712957 3247297
2048 662895 3247297
2048 715386 3247297
2048 782440 3247297
2048 669390 3247297
2048 747066 3247297
2048 648008 3247297
2048 673100 3247297
2048 509550 3247297
2048 747977 3247297
2048 651902 3247297
2048 683477 3247297
2048 681037 3247297
2048 651883 3247297
4096 629837 3247297
4096 665117 3247297
4096 475549 3247297
4096 470961 3247297
4096 684493 3247297
4096 603560 3247297
4096 633778 3247297
4096 740631 3247297
4096 698079 3247297
4096 731786 3247297
4096 584733 3247297
4096 586694 3247297
4096 510348 3247297
4096 450173 3247297
4096 678024 3247297
4096 612576 3247297
4096 674745 3247297
4096 597137 3247297
4096 658539 3247297
4096 643726 3247297
8192 372820 3247297
8192 621183 3247297
8192 589720 3247297
8192 494216 3247297
8192 382450 3247297
8192 559447 3247297
8192 559942 3247297
8192 348388 3247297
8192 531421 3247297
8192 695393 3247297
8192 286271 3247297
8192 436674 3247297
8192 553977 3247297
8192 352276 3247297
8192 579797 3247297
8192 638424 3247297
8192 557049 3247297
8192 513747 3247297
8192 568556 3247297
8192 357806 3247297
16384 256128 3247297
16384 340963 3247297
16384 240715 3247297
16384 299347 3247297
16384 328859 3247297
16384 300763 3247297
16384 220010 3247297
16384 519539 3247297
16384 266316 3247297
16384 261738 3247297
16384 263761 3247297
16384 228218 3247297
16384 231313 3247297
16384 223266 3247297
16384 235298 3247297
16384 393243 3247297
16384 331276 3247297
16384 362230 3247297
16384 476995 3247297
16384 368560 3247297
32768 350321 3247297
32768 241250 3247297
32768 406979 3247297
32768 263936 3247297
32768 431735 3247297
32768 237117 3247297
32768 349569 3247297
32768 240913 3247297
32768 401488 3247297
32768 237619 3247297
32768 225981 3247297
32768 239129 3247297
32768 199749 3247297
32768 310991 3247297
32768 214769 3247297
32768 400481 3247297
32768 271398 3247297
32768 419274 3247297
32768 194684 3247297
32768 172761 3247297
65536 333006 3247297
65536 156453 3247297
65536 172429 3247297
65536 288732 3247297
65536 154989 3247297
65536 133638 3247297
65536 339581 3247297
65536 152179 3247297
65536 162292 3247297
65536 391368 3247297
65536 141332 3247297
65536 126535 3247297
65536 272652 3247297
65536 120681 3247297
65536 146445 3247297
65536 330511 3247297
65536 117255 3247297
65536 139024 3247297
65536 361672 3247297
65536 152705 3247297
131072 180625 3247297
131072 100558 3247297
131072 173523 3247297
131072 91230 3247297
131072 103602 3247297
131072 245379 3247297
131072 98515 3247297
131072 85668 3247297
131072 101434 3247297
131072 110927 3247297
131072 212620 3247297
131072 98011 3247297
131072 98331 3247297
131072 113444 3247297
131072 93830 3247297
131072 99929 3247297
131072 120473 3247297
131072 106104 3247297
131072 111854 3247297
131072 243252 3247297
262144 83684 3247297
262144 81030 3247297
262144 77117 3247297
262144 66489 3247297
262144 70276 3247297
262144 230926 3247297
262144 101852 3247297
262144 68475 3247297
262144 59704 3247297
262144 111171 3247297
262144 93292 3247297
262144 236026 3247297
262144 84739 3247297
262144 66022 3247297
262144 68797 3247297
262144 64922 3247297
262144 67228 3247297
262144 79439 3247297
262144 213570 3247297
262144 82047 3247297
524288 66940 3247297
524288 59938 3247297
524288 50717 3247297
524288 48492 3247297
524288 73486 3247297
524288 232172 3247297
524288 96333 3247297
524288 52530 3247297
524288 47712 3247297
524288 45122 3247297
524288 55921 3247297
524288 43690 3247297
524288 81995 3247297
524288 272712 3247297
524288 182191 3247297
524288 155445 3247297
524288 81927 3247297
524288 46652 3247297
524288 181966 3247297
524288 82623 3247297
1048576 61007 3247297
1048576 54556 3247297
1048576 51622 3247297
1048576 51514 3247297
1048576 46726 3247297
1048576 47158 3247297
1048576 43055 3247297
1048576 200030 3247297
1048576 84111 3247297
1048576 55562 3247297
1048576 55325 3247297
1048576 45513 3247297
1048576 40797 3247297
1048576 38327 3247297
1048576 35194 3247297
1048576 47258 3247297
1048576 44260 3247297
1048576 232482 3247297
1048576 76297 3247297
1048576 51133 3247297
2097152 64987 3247297
2097152 44699 3247297
2097152 49587 3247297
2097152 42233 3247297
2097152 50491 3247297
2097152 49201 3247297
2097152 52404 3247297
2097152 77418 3247297
2097152 49568 3247297
2097152 55074 3247297
2097152 44973 3247297
2097152 40065 3247297
2097152 45187 3247297
2097152 47477 3247297
2097152 53370 3247297
2097152 44297 3247297
2097152 40033 3247297
2097152 45191 3247297
2097152 52461 3247297
2097152 36192 3247297
4194304 43516 3247297
4194304 37439 3247297
4194304 38000 3247297
4194304 45245 3247297
4194304 42411 3247297
4194304 32734 3247297
4194304 33562 3247297
4194304 38101 3247297
4194304 33640 3247297
4194304 196386 3247297
4194304 49765 3247297
4194304 48155 3247297
4194304 45981 3247297
4194304 35416 3247297
4194304 42722 3247297
4194304 40023 3247297
4194304 46003 3247297
4194304 98988 3247297
4194304 101092 3247297
4194304 59285 3247297
8388608 62731 3247297
8388608 50381 3247297
8388608 34431 3247297
8388608 51147 3247297
8388608 51955 3247297
8388608 37520 3247297
8388608 46987 3247297
8388608 38058 3247297
8388608 47258 3247297
8388608 211626 3247297
8388608 44870 3247297
8388608 57261 3247297
8388608 50037 3247297
8388608 55480 3247297
8388608 58059 3247297
8388608 51251 3247297
8388608 47858 3247297
8388608 45137 3247297
8388608 57876 3247297
8388608 45822 3247297
16777216 63242 3247297
16777216 50571 3247297
16777216 48036 3247297
16777216 42857 3247297
16777216 41979 3247297
16777216 47897 3247297
16777216 43043 3247297
16777216 48697 3247297
16777216 44409 3247297
16777216 50682 3247297
16777216 53742 3247297
16777216 113966 3247297
16777216 78518 3247297
16777216 47343 3247297
16777216 42048 3247297
16777216 48493 3247297
16777216 45239 3247297
16777216 47194 3247297
16777216 49434 3247297
16777216 44422 3247297
33554432 45390 3247297
33554432 49696 3247297
33554432 148723 3247297
33554432 74172 3247297
33554432 47236 3247297
33554432 45757 3247297
33554432 51201 3247297
33554432 55302 3247297
33554432 45313 3247297
33554432 53147 3247297
33554432 47050 3247297
33554432 58699 3247297
33554432 85172 3247297
33554432 71640 3247297
33554432 60361 3247297
33554432 55352 3247297
33554432 51652 3247297
33554432 44834 3247297
33554432 45861 3247297
33554432 35813 3247297
67108864 51145 3247297
67108864 224902 3247297
67108864 69642 3247297
67108864 49842 3247297
67108864 45302 3247297
67108864 46085 3247297
67108864 51610 3247297
67108864 50564 3247297
67108864 43642 3247297
67108864 44165 3247297
67108864 51187 3247297
67108864 81787 3247297
67108864 67503 3247297
67108864 45906 3247297
67108864 46858 3247297
67108864 47608 3247297
67108864 43683 3247297
67108864 40809 3247297
67108864 45672 3247297
67108864 44403 3247297
134217728 78203 3247297
134217728 83927 3247297
134217728 49728 3247297
134217728 44584 3247297
134217728 57576 3247297
134217728 43994 3247297
134217728 52951 3247297
134217728 43154 3247297
134217728 45553 3247297
134217728 41837 3247297
134217728 39734 3247297
134217728 74478 3247297
134217728 54639 3247297
134217728 46776 3247297
134217728 44929 3247297
134217728 44082 3247297
134217728 41523 3247297
134217728 42783 3247297
134217728 44491 3247297
134217728 109841 3247297
