bufferSize downloadTime fileSize
1 6189 64
1 2288145 3247297
1 2241387 3247297
1 2504431 3247297
1 2734235 3247297
1 1994497 3247297
1 2492762 3247297
1 1932660 3247297
1 2031165 3247297
1 2131270 3247297
1 1961479 3247297
1 1975101 3247297
1 2014795 3247297
1 2028637 3247297
1 2371072 3247297
1 2467196 3247297
1 2066998 3247297
1 2062084 3247297
1 2071581 3247297
1 2105176 3247297
2 1060023 3247297
2 1084129 3247297
2 1023425 3247297
2 1035232 3247297
2 1025515 3247297
2 1082716 3247297
2 1093387 3247297
2 1092248 3247297
2 1051866 3247297
2 1369265 3247297
2 1094123 3247297
2 1195009 3247297
2 1097653 3247297
2 1052686 3247297
2 1122732 3247297
2 1105367 3247297
2 1130766 3247297
2 1033156 3247297
2 1033706 3247297
2 1070339 3247297
4 578505 3247297
4 546660 3247297
4 572674 3247297
4 595187 3247297
4 647340 3247297
4 556394 3247297
4 605781 3247297
4 523913 3247297
4 625287 3247297
4 604555 3247297
4 543954 3247297
4 548494 3247297
4 536447 3247297
4 532910 3247297
4 542645 3247297
4 607119 3247297
4 519203 3247297
4 594332 3247297
4 571513 3247297
4 529860 3247297
8 279991 3247297
8 311894 3247297
8 344645 3247297
8 309137 3247297
8 322366 3247297
8 301152 3247297
8 297451 3247297
8 317506 3247297
8 302675 3247297
8 363286 3247297
8 404483 3247297
8 363175 3247297
8 306036 3247297
8 375807 3247297
8 311916 3247297
8 298010 3247297
8 323250 3247297
8 285179 3247297
8 295098 3247297
8 330659 3247297
16 194484 3247297
16 153907 3247297
16 150501 3247297
16 160548 3247297
16 151744 3247297
16 170458 3247297
16 161318 3247297
16 144333 3247297
16 195914 3247297
16 164694 3247297
16 188666 3247297
16 210286 3247297
16 178038 3247297
16 172006 3247297
16 151619 3247297
16 153211 3247297
16 165530 3247297
16 255477 3247297
16 185116 3247297
16 188676 3247297
32 238402 3247297
32 95638 3247297
32 117230 3247297
32 96249 3247297
32 101018 3247297
32 108415 3247297
32 110676 3247297
32 104939 3247297
32 98140 3247297
32 105309 3247297
32 119293 3247297
32 131864 3247297
32 114591 3247297
32 108931 3247297
32 98590 3247297
32 108081 3247297
32 115657 3247297
32 119007 3247297
32 124971 3247297
32 124537 3247297
64 98385 3247297
64 77952 3247297
64 69973 3247297
64 68670 3247297
64 67697 3247297
64 60043 3247297
64 68989 3247297
64 55319 3247297
64 56082 3247297
64 57885 3247297
64 55715 3247297
64 55292 3247297
64 54042 3247297
64 49907 3247297
64 73140 3247297
64 85753 3247297
64 71443 3247297
64 76920 3247297
64 67367 3247297
64 61544 3247297
128 56709 3247297
128 105123 3247297
128 76780 3247297
128 34056 3247297
128 47371 3247297
128 43608 3247297
128 40724 3247297
128 40502 3247297
128 45889 3247297
128 39627 3247297
128 52843 3247297
128 64499 3247297
128 51048 3247297
128 36366 3247297
128 38198 3247297
128 42607 3247297
128 44321 3247297
128 45429 3247297
128 52160 3247297
128 51081 3247297
256 43429 3247297
256 36032 3247297
256 39763 3247297
256 37151 3247297
256 36836 3247297
256 39496 3247297
256 41708 3247297
256 39093 3247297
256 37664 3247297
256 35678 3247297
256 234533 3247297
256 106962 3247297
256 40498 3247297
256 34894 3247297
256 30914 3247297
256 33540 3247297
256 40910 3247297
256 37964 3247297
256 45910 3247297
256 43902 3247297
512 33039 3247297
512 30356 3247297
512 26988 3247297
512 32842 3247297
512 32804 3247297
512 41411 3247297
512 41707 3247297
512 36942 3247297
512 31866 3247297
512 42910 3247297
512 35711 3247297
512 36116 3247297
512 43663 3247297
512 49167 3247297
512 42846 3247297
512 33700 3247297
512 32305 3247297
512 34936 3247297
512 34011 3247297
512 26115 3247297
1024 17770 3247297
1024 17913 3247297
1024 105271 3247297
1024 59856 3247297
1024 45890 3247297
1024 46821 3247297
1024 51792 3247297
1024 55204 3247297
1024 62609 3247297
1024 65521 3247297
1024 39757 3247297
1024 25382 3247297
1024 24655 3247297
1024 31612 3247297
1024 33483 3247297
1024 36829 3247297
1024 37631 3247297
1024 33821 3247297
1024 24753 3247297
1024 27146 3247297
2048 27589 3247297
2048 24257 3247297
2048 29600 3247297
2048 25753 3247297
2048 27779 3247297
2048 31387 3247297
2048 23775 3247297
2048 28892 3247297
2048 25259 3247297
2048 30975 3247297
2048 23708 3247297
2048 28316 3247297
2048 25838 3247297
2048 21653 3247297
2048 19141 3247297
2048 24092 3247297
2048 29900 3247297
2048 28497 3247297
2048 26999 3247297
2048 28554 3247297
4096 25714 3247297
4096 19941 3247297
4096 18601 3247297
4096 18232 3247297
4096 17807 3247297
4096 20977 3247297
4096 21483 3247297
4096 18398 3247297
4096 20293 3247297
4096 22474 3247297
4096 58832 3247297
4096 34838 3247297
4096 45382 3247297
4096 34148 3247297
4096 32205 3247297
4096 29702 3247297
4096 22422 3247297
4096 25319 3247297
4096 22434 3247297
4096 20909 3247297
8192 22582 3247297
8192 23010 3247297
8192 24981 3247297
8192 28269 3247297
8192 25722 3247297
8192 25535 3247297
8192 21916 3247297
8192 23140 3247297
8192 25033 3247297
8192 21470 3247297
8192 21641 3247297
