#Servidor e cliente executados em rede WAN
#Amostragem: 20
#MenorBuffer 2^0
#MaiorBuffer 2^27

bufferSize downloadTime fileSize
1 3868037 3247297
1 3920488 3247297
1 3904448 3247297
1 3789490 3247297
1 4216440 3247297
1 4043485 3247297
1 3985191 3247297
1 7164164 3247297
1 4626761 3247297
1 4084337 3247297
1 4147778 3247297
1 3892854 3247297
1 3878722 3247297
1 3783984 3247297
1 5173494 3247297
1 4563727 3247297
1 4096585 3247297
1 4342090 3247297
1 6530369 3247297
1 4358394 3247297
2 4019655 3247297
2 3892773 3247297
2 3904290 3247297
2 3761692 3247297
2 3743460 3247297
2 3800863 3247297
2 3852000 3247297
2 3856937 3247297
2 3762784 3247297
2 3849411 3247297
2 3850196 3247297
2 3898897 3247297
2 3822929 3247297
2 3754719 3247297
2 3825128 3247297
2 3817944 3247297
2 3808291 3247297
2 3786511 3247297
2 3836886 3247297
2 3874463 3247297
4 3794821 3247297
4 3913262 3247297
4 3324226 3247297
4 3364438 3247297
4 3375544 3247297
4 3359169 3247297
4 5692966 3247297
4 4614270 3247297
4 4085602 3247297
4 3975177 3247297
4 3932328 3247297
4 3963479 3247297
4 3471636 3247297
4 3501289 3247297
4 3684199 3247297
4 3216108 3247297
4 3317121 3247297
4 3622407 3247297
4 3943739 3247297
4 3546307 3247297
8 3564076 3247297
8 3565053 3247297
8 3677727 3247297
8 3626558 3247297
8 11286001 3247297
8 3846477 3247297
8 4242859 3247297
8 3566162 3247297
8 4123776 3247297
8 3891986 3247297
8 4211780 3247297
8 3963634 3247297
8 3260335 3247297
8 3225270 3247297
8 3274965 3247297
8 3575379 3247297
8 3685947 3247297
8 3358492 3247297
8 3445090 3247297
8 3466614 3247297
16 3619831 3247297
16 3457054 3247297
16 3457075 3247297
16 3393494 3247297
16 3348729 3247297
16 5169141 3247297
16 3411884 3247297
16 3392304 3247297
16 3451563 3247297
16 3455668 3247297
16 4347207 3247297
16 3878118 3247297
16 5305082 3247297
16 4072848 3247297
16 5656875 3247297
16 3978234 3247297
16 3953091 3247297
16 3922907 3247297
16 3885654 3247297
16 6214989 3247297
32 3913529 3247297
32 3780402 3247297
32 3744860 3247297
32 3775767 3247297
32 3815456 3247297
32 3832548 3247297
32 3969984 3247297
32 3865565 3247297
32 3884994 3247297
32 3879596 3247297
32 3812095 3247297
32 3806348 3247297
32 3872765 3247297
32 4185329 3247297
32 4003059 3247297
32 3615891 3247297
32 4627738 3247297
32 3227616 3247297
32 3410657 3247297
32 3243014 3247297
64 3208188 3247297
64 3284668 3247297
64 3283323 3247297
64 3293262 3247297
64 3215664 3247297
64 3181102 3247297
64 3307288 3247297
64 3229960 3247297
64 3255001 3247297
64 3210115 3247297
64 3252620 3247297
64 3225945 3247297
64 3582596 3247297
64 3033431 3247297
64 4159548 3247297
64 3161885 3247297
64 3009035 3247297
64 3027325 3247297
64 3194170 3247297
64 3100927 3247297
128 3012932 3247297
128 2984512 3247297
128 3098788 3247297
128 3427273 3247297
128 3299062 3247297
128 3243675 3247297
128 3879215 3247297
128 3615754 3247297
128 3779304 3247297
128 3005688 3247297
128 3467069 3247297
128 3445937 3247297
128 4013412 3247297
128 3205468 3247297
128 2965012 3247297
128 2934416 3247297
128 2872870 3247297
128 2937341 3247297
128 2956213 3247297
128 2928149 3247297
256 2928635 3247297
256 2866570 3247297
256 3592642 3247297
256 2965732 3247297
256 2996742 3247297
256 3113351 3247297
256 2974606 3247297
256 2892762 3247297
256 3013115 3247297
256 2934472 3247297
256 2839623 3247297
256 2878116 3247297
256 3024147 3247297
256 3307690 3247297
256 2969413 3247297
256 3692599 3247297
256 2886029 3247297
256 2860733 3247297
256 3025736 3247297
256 2945483 3247297
512 2925368 3247297
512 2881868 3247297
512 2903186 3247297
512 2826595 3247297
512 2909585 3247297
512 2858732 3247297
512 2856421 3247297
512 2893170 3247297
512 3471583 3247297
512 3757017 3247297
512 2885254 3247297
512 3096613 3247297
512 6473785 3247297
512 7451743 3247297
512 2868897 3247297
512 5629765 3247297
512 2984063 3247297
512 7375522 3247297
512 5532832 3247297
512 2964892 3247297
1024 7745955 3247297
1024 8794435 3247297
1024 11234857 3247297
1024 7664239 3247297
1024 8677298 3247297
1024 7080720 3247297
1024 2818658 3247297
1024 3042598 3247297
1024 2912080 3247297
1024 3762909 3247297
1024 6906500 3247297
1024 2784435 3247297
1024 6756793 3247297
1024 6650511 3247297
1024 2817039 3247297
1024 2840212 3247297
1024 2785394 3247297
1024 3221560 3247297
1024 2987824 3247297
1024 4296040 3247297
2048 2514264 3247297
2048 2649862 3247297
2048 2479743 3247297
2048 2478725 3247297
2048 2520781 3247297
2048 2507846 3247297
2048 3040225 3247297
2048 9881060 3247297
2048 2557092 3247297
2048 2568355 3247297
2048 2678357 3247297
2048 2518233 3247297
2048 2603023 3247297
2048 2858645 3247297
2048 2559645 3247297
2048 2444450 3247297
2048 2490841 3247297
2048 2791549 3247297
2048 2476787 3247297
2048 6878349 3247297
4096 4955622 3247297
4096 2653798 3247297
4096 2094318 3247297
4096 2021445 3247297
4096 2530227 3247297
4096 1999893 3247297
4096 2008904 3247297
4096 1964883 3247297
4096 2137197 3247297
4096 2054918 3247297
4096 2105952 3247297
4096 2431688 3247297
4096 2100244 3247297
4096 2131496 3247297
4096 2043285 3247297
4096 2109092 3247297
4096 2049893 3247297
4096 2137881 3247297
4096 2226071 3247297
4096 2607221 3247297
8192 1670161 3247297
8192 1683534 3247297
8192 1663288 3247297
8192 1516886 3247297
8192 1640335 3247297
8192 1527487 3247297
8192 1678758 3247297
8192 1493331 3247297
8192 1619325 3247297
8192 1468306 3247297
8192 1526507 3247297
8192 1930845 3247297
8192 1753772 3247297
8192 1648848 3247297
8192 1534869 3247297
8192 1665661 3247297
8192 1643183 3247297
8192 1696353 3247297
8192 2013506 3247297
8192 1605195 3247297
16384 2039071 3247297
16384 1696303 3247297
16384 1218476 3247297
16384 1259520 3247297
16384 1518112 3247297
16384 1272552 3247297
16384 1259762 3247297
16384 1279552 3247297
16384 1126549 3247297
16384 1284722 3247297
16384 1375911 3247297
16384 1105817 3247297
16384 1247883 3247297
16384 1248566 3247297
16384 1262763 3247297
16384 1281261 3247297
16384 1244729 3247297
16384 1350413 3247297
16384 1307554 3247297
16384 1242080 3247297
32768 1033742 3247297
32768 1037182 3247297
32768 1334429 3247297
32768 1018277 3247297
32768 1035341 3247297
32768 1036884 3247297
32768 1020284 3247297
32768 1029966 3247297
32768 1047946 3247297
32768 1289766 3247297
32768 1024014 3247297
32768 1027456 3247297
32768 1232776 3247297
32768 1089460 3247297
32768 1027495 3247297
32768 847410 3247297
32768 1043573 3247297
32768 1021385 3247297
