bufferSize downloadTime fileSize
16 173314 3247297
16 146052 3247297
16 148180 3247297
16 157198 3247297
16 142008 3247297
16 156571 3247297
16 153248 3247297
16 156398 3247297
16 176702 3247297
16 160774 3247297
16 142560 3247297
16 147287 3247297
16 152606 3247297
16 131916 3247297
16 136561 3247297
16 135336 3247297
16 164337 3247297
16 333273 3247297
16 133300 3247297
16 157103 3247297
32 82187 3247297
32 95567 3247297
32 84287 3247297
32 90600 3247297
32 82270 3247297
32 81427 3247297
32 72004 3247297
32 74264 3247297
32 72255 3247297
32 104925 3247297
32 72464 3247297
32 73246 3247297
32 77334 3247297
32 89325 3247297
32 76778 3247297
32 99840 3247297
32 145980 3247297
32 87258 3247297
32 81143 3247297
32 120214 3247297
64 44191 3247297
64 38657 3247297
64 47513 3247297
64 97803 3247297
64 41973 3247297
64 49687 3247297
64 44757 3247297
64 191944 3247297
64 50489 3247297
64 39055 3247297
64 40751 3247297
64 40051 3247297
64 47429 3247297
64 45052 3247297
64 249819 3247297
64 72103 3247297
64 231660 3247297
64 148691 3247297
64 49929 3247297
64 55936 3247297
128 79379 3247297
128 25090 3247297
128 28112 3247297
128 26273 3247297
128 24196 3247297
128 25488 3247297
128 25626 3247297
128 56241 3247297
128 30665 3247297
128 31192 3247297
128 40112 3247297
128 24326 3247297
128 54790 3247297
128 28359 3247297
128 24688 3247297
128 25019 3247297
128 24557 3247297
128 42258 3247297
128 48679 3247297
128 26544 3247297
256 19025 3247297
256 17567 3247297
256 41275 3247297
256 25474 3247297
256 18118 3247297
256 18974 3247297
256 20976 3247297
256 16125 3247297
256 16562 3247297
256 17479 3247297
256 16445 3247297
256 36762 3247297
256 26484 3247297
256 20602 3247297
256 44232 3247297
256 39325 3247297
256 20534 3247297
256 19994 3247297
256 29175 3247297
256 21624 3247297
512 22496 3247297
512 21657 3247297
512 14439 3247297
512 14130 3247297
512 14643 3247297
512 31305 3247297
512 24375 3247297
512 18522 3247297
512 19490 3247297
512 15801 3247297
512 15598 3247297
512 15614 3247297
512 15613 3247297
512 31713 3247297
512 29255 3247297
512 21599 3247297
512 14714 3247297
512 14133 3247297
512 15424 3247297
512 15485 3247297
1024 13593 3247297
1024 11320 3247297
1024 11047 3247297
1024 12480 3247297
1024 10440 3247297
1024 33020 3247297
1024 26406 3247297
1024 18415 3247297
1024 13877 3247297
1024 12482 3247297
1024 12307 3247297
1024 11343 3247297
1024 11685 3247297
1024 29505 3247297
1024 13147 3247297
1024 12680 3247297
1024 12600 3247297
1024 12474 3247297
1024 12880 3247297
1024 12554 3247297
2048 13208 3247297
2048 13197 3247297
2048 11575 3247297
2048 10305 3247297
2048 10172 3247297
2048 10157 3247297
2048 10342 3247297
2048 10199 3247297
2048 21350 3247297
2048 15268 3247297
2048 11318 3247297
2048 12340 3247297
2048 11477 3247297
2048 27580 3247297
2048 20210 3247297
2048 14594 3247297
2048 66455 3247297
2048 27272 3247297
2048 19921 3247297
2048 27588 3247297
4096 11696 3247297
4096 12568 3247297
4096 54825 3247297
4096 22382 3247297
4096 17389 3247297
4096 17575 3247297
4096 13983 3247297
4096 11310 3247297
4096 77089 3247297
4096 17576 3247297
4096 17285 3247297
4096 17353 3247297
4096 19297 3247297
4096 12956 3247297
4096 67952 3247297
4096 13367 3247297
4096 11533 3247297
4096 10366 3247297
4096 10213 3247297
4096 9518 3247297
8192 100146 3247297
8192 16039 3247297
8192 16505 3247297
8192 15934 3247297
8192 15970 3247297
8192 82946 3247297
8192 21017 3247297
8192 16676 3247297
8192 16011 3247297
8192 16099 3247297
8192 15917 3247297
8192 16612 3247297
8192 76852 3247297
8192 16005 3247297
8192 15875 3247297
8192 16202 3247297
8192 16142 3247297
8192 11075 3247297
8192 79346 3247297
8192 21025 3247297
16384 17671 3247297
16384 17642 3247297
16384 14075 3247297
16384 10521 3247297
16384 68279 3247297
16384 21799 3247297
16384 18025 3247297
16384 18133 3247297
16384 17415 3247297
16384 7773 3247297
16384 145248 3247297
16384 15026 3247297
16384 14922 3247297
16384 14739 3247297
16384 14666 3247297
16384 14632 3247297
16384 80227 3247297
16384 158659 3247297
16384 16429 3247297
16384 14842 3247297
32768 16229 3247297
32768 23724 3247297
32768 18916 3247297
32768 13034 3247297
32768 13390 3247297
32768 12093 3247297
32768 9997 3247297
32768 10449 3247297
32768 10134 3247297
32768 10084 3247297
32768 10547 3247297
32768 10793 3247297
32768 15812 3247297
32768 12190 3247297
32768 93339 3247297
32768 15522 3247297
32768 13439 3247297
