bufferSize downloadTime fileSize
16 2990742 3247297
16 2749553 3247297
16 2691658 3247297
16 2755690 3247297
16 2783147 3247297
16 2726692 3247297
16 2768047 3247297
16 2732398 3247297
16 2711388 3247297
16 3397982 3247297
32 3220664 3247297
32 3139678 3247297
32 3112907 3247297
32 3191418 3247297
32 3218414 3247297
32 3176010 3247297
32 3130824 3247297
32 3175365 3247297
32 4000202 3247297
32 3199959 3247297
64 3164797 3247297
64 3489626 3247297
64 3201517 3247297
64 3219545 3247297
64 3121603 3247297
64 3156814 3247297
64 3340080 3247297
64 3234729 3247297
64 3180741 3247297
64 3157196 3247297
128 3207601 3247297
128 3102890 3247297
128 3131454 3247297
128 3211683 3247297
128 3128534 3247297
128 3843569 3247297
128 3142869 3247297
128 3205186 3247297
128 3218425 3247297
128 3160939 3247297
256 3079015 3247297
256 3134112 3247297
256 3139323 3247297
256 3104364 3247297
256 3076720 3247297
256 3383283 3247297
256 3128653 3247297
256 3089250 3247297
256 3134615 3247297
256 3137999 3247297
512 3090087 3247297
512 3138837 3247297
512 3080036 3247297
512 3118896 3247297
512 3185337 3247297
512 3065965 3247297
512 3071095 3247297
512 3101942 3247297
512 3113536 3247297
512 3127920 3247297
1024 2898662 3247297
1024 2921689 3247297
1024 2914732 3247297
1024 2872912 3247297
1024 2947051 3247297
1024 3813051 3247297
1024 3020707 3247297
1024 2942296 3247297
1024 2930573 3247297
1024 3726956 3247297
2048 2672653 3247297
2048 2666832 3247297
2048 2723465 3247297
2048 2715718 3247297
2048 2701698 3247297
2048 2641249 3247297
2048 2692054 3247297
2048 2729011 3247297
2048 2701894 3247297
2048 2715360 3247297
4096 2241759 3247297
4096 2397630 3247297
4096 2149066 3247297
4096 2127127 3247297
4096 2084470 3247297
4096 2079555 3247297
4096 2161537 3247297
4096 2158304 3247297
4096 2346791 3247297
4096 2132577 3247297
8192 1679924 3247297
8192 1722808 3247297
8192 1641162 3247297
8192 1712542 3247297
8192 1631189 3247297
8192 1663401 3247297
8192 1646036 3247297
8192 1666609 3247297
8192 1685244 3247297
8192 1521939 3247297
16384 1229613 3247297
16384 1239711 3247297
16384 1262927 3247297
16384 1266738 3247297
16384 1243516 3247297
16384 1277590 3247297
16384 1256551 3247297
16384 1255134 3247297
16384 1233743 3247297
16384 1274066 3247297
32768 1026576 3247297
32768 1024170 3247297
32768 1045436 3247297
32768 1010003 3247297
32768 1055958 3247297
32768 1035318 3247297
32768 1060285 3247297
32768 1036876 3247297
32768 1069170 3247297
32768 1035410 3247297
65536 823590 3247297
65536 821837 3247297
65536 822687 3247297
65536 830588 3247297
65536 834811 3247297
65536 835439 3247297
65536 828529 3247297
65536 819162 3247297
65536 795785 3247297
65536 821310 3247297
131072 618546 3247297
131072 623016 3247297
131072 621678 3247297
131072 627963 3247297
131072 602109 3247297
131072 610249 3247297
131072 614147 3247297
131072 608631 3247297
131072 625799 3247297
131072 617713 3247297
262144 405933 3247297
262144 421099 3247297
262144 414567 3247297
262144 632760 3247297
262144 415846 3247297
262144 415756 3247297
262144 436104 3247297
262144 413031 3247297
262144 424153 3247297
262144 615370 3247297
524288 403138 3247297
524288 405736 3247297
524288 402835 3247297
524288 412240 3247297
524288 408990 3247297
524288 210402 3247297
524288 432930 3247297
524288 412766 3247297
524288 210556 3247297
524288 403044 3247297
1048576 407907 3247297
1048576 403135 3247297
1048576 405120 3247297
1048576 401601 3247297
1048576 206644 3247297
1048576 216173 3247297
1048576 409791 3247297
1048576 401504 3247297
1048576 398844 3247297
1048576 212551 3247297
2097152 213890 3247297
2097152 217403 3247297
2097152 219676 3247297
2097152 223156 3247297
2097152 224695 3247297
2097152 219305 3247297
2097152 216773 3247297
2097152 206902 3247297
2097152 212998 3247297
2097152 208416 3247297
4194304 220069 3247297
4194304 215838 3247297
4194304 212873 3247297
4194304 209923 3247297
4194304 213285 3247297
4194304 211888 3247297
4194304 217434 3247297
4194304 216850 3247297
4194304 218412 3247297
4194304 216266 3247297
8388608 215600 3247297
8388608 214578 3247297
8388608 212595 3247297
8388608 213204 3247297
8388608 215249 3247297
8388608 212921 3247297
8388608 209370 3247297
8388608 216607 3247297
8388608 225304 3247297
8388608 212478 3247297
16777216 212194 3247297
16777216 210441 3247297
16777216 212968 3247297
16777216 217079 3247297
16777216 214905 3247297
16777216 217014 3247297
16777216 231019 3247297
16777216 215246 3247297
16777216 210304 3247297
16777216 212296 3247297
33554432 210250 3247297
33554432 219676 3247297
33554432 217967 3247297
33554432 217179 3247297
33554432 213451 3247297
33554432 206569 3247297
33554432 212557 3247297
33554432 220619 3247297
33554432 216770 3247297
33554432 208790 3247297
67108864 215479 3247297
67108864 230044 3247297
67108864 208697 3247297
67108864 217302 3247297
67108864 216035 3247297
67108864 218249 3247297
67108864 218054 3247297
67108864 215988 3247297
67108864 214702 3247297
67108864 218550 3247297
134217728 215433 3247297
134217728 239850 3247297
134217728 211463 3247297
134217728 208125 3247297
134217728 214790 3247297
134217728 212742 3247297
134217728 221826 3247297
134217728 216476 3247297
134217728 214312 3247297
134217728 212642 3247297
